id_operacion,fecha,sucursal,importe
OP-0001,2026-01-05,MAD01,784.01
OP-0002,2026-01-05,MAD01,1500.18
OP-0003,2026-01-05,MAD01,1576.23
OP-0004,2026-01-05,BIL02,419.59
OP-0005,2026-01-05,BIL02,679.13
OP-0006,2026-01-05,BIL02,1251.14
OP-0007,2026-01-05,BIL02,1073.5
OP-0008,2026-01-05,BIL02,1193.28
OP-0009,2026-01-05,BIL02,858.78
OP-0010,2026-01-05,VAL03,1511.12
OP-0011,2026-01-05,VAL03,1226.41
OP-0012,2026-01-05,VAL03,1650.9
OP-0013,2026-01-05,VAL03,1387.0
OP-0014,2026-01-05,VAL03,856.28
OP-0015,2026-01-06,MAD01,1347.5
OP-0016,2026-01-06,MAD01,816.45
OP-0017,2026-01-06,MAD01,1551.38
OP-0018,2026-01-06,MAD01,1180.03
OP-0019,2026-01-06,BIL02,927.63
OP-0020,2026-01-06,BIL02,1689.02
OP-0021,2026-01-06,BIL02,1138.19
OP-0022,2026-01-06,VAL03,1028.67
OP-0023,2026-01-06,VAL03,1059.15
OP-0024,2026-01-06,VAL03,1412.92
OP-0025,2026-01-06,VAL03,1346.18
OP-0026,2026-01-06,VAL03,1365.09
OP-0027,2026-01-06,VAL03,1372.33
OP-0028,2026-01-07,MAD01,1037.43
OP-0029,2026-01-07,MAD01,995.1
OP-0030,2026-01-07,MAD01,874.49
OP-0031,2026-01-07,MAD01,1446.39
OP-0032,2026-01-07,MAD01,1651.59
OP-0033,2026-01-07,MAD01,1154.42
OP-0034,2026-01-07,MAD01,863.94
OP-0035,2026-01-07,BIL02,870.21
OP-0036,2026-01-07,BIL02,1460.24
OP-0037,2026-01-07,BIL02,1497.3
OP-0038,2026-01-07,BIL02,1417.26
OP-0039,2026-01-07,BIL02,933.8
OP-0040,2026-01-07,BIL02,1292.86
OP-0041,2026-01-07,VAL03,1287.48
OP-0042,2026-01-07,VAL03,1548.57
OP-0043,2026-01-07,VAL03,1289.44
OP-0044,2026-01-07,VAL03,1471.57
OP-0045,2026-01-07,VAL03,1227.03
OP-0046,2026-01-07,VAL03,1315.65
OP-0047,2026-01-07,VAL03,1452.52
OP-0048,2026-01-08,MAD01,617.14
OP-0049,2026-01-08,MAD01,1072.13
OP-0050,2026-01-08,MAD01,1011.85
OP-0051,2026-01-08,MAD01,944.45
OP-0052,2026-01-08,BIL02,1797.98
OP-0053,2026-01-08,BIL02,853.67
OP-0054,2026-01-08,BIL02,1587.31
OP-0055,2026-01-08,VAL03,526.85
OP-0056,2026-01-08,VAL03,1066.05
OP-0057,2026-01-08,VAL03,1265.1
OP-0058,2026-01-09,MAD01,1484.49
OP-0059,2026-01-09,MAD01,1517.34
OP-0060,2026-01-09,MAD01,1060.51
OP-0061,2026-01-09,MAD01,1015.06
OP-0062,2026-01-09,MAD01,1543.19
OP-0063,2026-01-09,BIL02,1123.48
OP-0064,2026-01-09,BIL02,689.73
OP-0065,2026-01-09,BIL02,746.69
OP-0066,2026-01-09,BIL02,832.22
OP-0067,2026-01-09,BIL02,1398.86
OP-0068,2026-01-09,VAL03,1476.19
OP-0069,2026-01-09,VAL03,1029.1
OP-0070,2026-01-09,VAL03,1263.42
OP-0071,2026-01-09,VAL03,1450.24
OP-0072,2026-01-09,VAL03,1076.26
OP-0073,2026-01-09,VAL03,1382.71
OP-0074,2026-01-09,VAL03,935.23
OP-0075,2026-01-10,MAD01,1054.78
OP-0076,2026-01-10,MAD01,1047.3
OP-0077,2026-01-10,MAD01,721.66
OP-0078,2026-01-10,MAD01,1394.79
OP-0079,2026-01-10,BIL02,1205.0
OP-0080,2026-01-10,BIL02,1392.3
OP-0081,2026-01-10,BIL02,1378.61
OP-0082,2026-01-10,BIL02,1466.15
OP-0083,2026-01-10,BIL02,1160.61
OP-0084,2026-01-10,BIL02,1030.68
OP-0085,2026-01-10,VAL03,1168.11
OP-0086,2026-01-10,VAL03,525.07
OP-0087,2026-01-10,VAL03,621.16
OP-0088,2026-01-11,MAD01,801.1
OP-0089,2026-01-11,MAD01,1359.91
OP-0090,2026-01-11,MAD01,837.81
OP-0091,2026-01-11,MAD01,1048.73
OP-0092,2026-01-11,BIL02,1719.69
OP-0093,2026-01-11,BIL02,1057.49
OP-0094,2026-01-11,BIL02,1495.01
OP-0095,2026-01-11,VAL03,1117.82
OP-0096,2026-01-11,VAL03,819.99
OP-0097,2026-01-11,VAL03,1064.39
OP-0098,2026-01-11,VAL03,1536.12
OP-0099,2026-01-11,VAL03,509.07
OP-0100,2026-01-11,VAL03,1373.77
OP-0101,2026-01-12,MAD01,1295.09
OP-0102,2026-01-12,MAD01,962.34
OP-0103,2026-01-12,MAD01,621.58
OP-0104,2026-01-12,MAD01,1228.85
OP-0105,2026-01-12,MAD01,988.2
OP-0106,2026-01-12,BIL02,1208.74
OP-0107,2026-01-12,BIL02,1840.71
OP-0108,2026-01-12,BIL02,1104.26
OP-0109,2026-01-12,BIL02,790.6
OP-0110,2026-01-12,BIL02,1271.71
OP-0111,2026-01-12,BIL02,1288.0
OP-0112,2026-01-12,VAL03,1743.68
OP-0113,2026-01-12,VAL03,1534.04
OP-0114,2026-01-12,VAL03,1342.75
OP-0115,2026-01-12,VAL03,1785.32
OP-0116,2026-01-12,VAL03,724.49
OP-0117,2026-01-13,MAD01,829.37
OP-0118,2026-01-13,MAD01,1044.08
OP-0119,2026-01-13,MAD01,649.33
OP-0120,2026-01-13,MAD01,1454.06
OP-0121,2026-01-13,MAD01,1111.11
OP-0122,2026-01-13,MAD01,611.68
OP-0123,2026-01-13,BIL02,793.77
OP-0124,2026-01-13,BIL02,1325.41
OP-0125,2026-01-13,BIL02,1535.25
OP-0126,2026-01-13,VAL03,2365.54
OP-0127,2026-01-13,VAL03,1365.76
OP-0128,2026-01-13,VAL03,804.18
OP-0129,2026-01-13,VAL03,347.18
OP-0130,2026-01-14,MAD01,1307.08
OP-0131,2026-01-14,MAD01,874.82
OP-0132,2026-01-14,MAD01,1033.86
OP-0133,2026-01-14,MAD01,955.16
OP-0134,2026-01-14,MAD01,1143.68
OP-0135,2026-01-14,BIL02,1262.82
OP-0136,2026-01-14,BIL02,1136.55
OP-0137,2026-01-14,BIL02,785.74
OP-0138,2026-01-14,BIL02,530.13
OP-0139,2026-01-14,VAL03,1005.48
OP-0140,2026-01-14,VAL03,1178.49
OP-0141,2026-01-14,VAL03,1907.17
OP-0142,2026-01-14,VAL03,1252.11
OP-0143,2026-01-14,VAL03,1593.1
OP-0144,2026-01-14,VAL03,1000.28
OP-0145,2026-01-14,VAL03,726.02
OP-0146,2026-01-15,MAD01,909.91
OP-0147,2026-01-15,MAD01,2051.39
OP-0148,2026-01-15,MAD01,871.45
OP-0149,2026-01-15,MAD01,1535.4
OP-0150,2026-01-15,BIL02,838.83
OP-0151,2026-01-15,BIL02,1572.63
OP-0152,2026-01-15,BIL02,1353.98
OP-0153,2026-01-15,VAL03,1183.69
OP-0154,2026-01-15,VAL03,938.08
OP-0155,2026-01-15,VAL03,1378.43
OP-0156,2026-01-15,VAL03,1018.01
OP-0157,2026-01-15,VAL03,709.76
OP-0158,2026-01-15,VAL03,688.82
OP-0159,2026-01-16,MAD01,1269.04
OP-0160,2026-01-16,MAD01,1831.64
OP-0161,2026-01-16,MAD01,1264.0
OP-0162,2026-01-16,MAD01,1152.54
OP-0163,2026-01-16,MAD01,1314.33
OP-0164,2026-01-16,BIL02,1287.75
OP-0165,2026-01-16,BIL02,1035.63
OP-0166,2026-01-16,BIL02,1642.52
OP-0167,2026-01-16,BIL02,1371.5
OP-0168,2026-01-16,BIL02,1814.3
OP-0169,2026-01-16,VAL03,1273.29
OP-0170,2026-01-16,VAL03,710.21
OP-0171,2026-01-16,VAL03,652.74
OP-0172,2026-01-16,VAL03,1860.37
OP-0173,2026-01-17,MAD01,1128.19
OP-0174,2026-01-17,MAD01,1046.73
OP-0175,2026-01-17,MAD01,1784.58
OP-0176,2026-01-17,BIL02,757.18
OP-0177,2026-01-17,BIL02,842.11
OP-0178,2026-01-17,BIL02,1457.33
OP-0179,2026-01-17,BIL02,1042.16
OP-0180,2026-01-17,BIL02,1197.95
OP-0181,2026-01-17,BIL02,1134.62
OP-0182,2026-01-17,BIL02,1335.03
OP-0183,2026-01-17,VAL03,1236.23
OP-0184,2026-01-17,VAL03,1457.58
OP-0185,2026-01-17,VAL03,379.93
OP-0186,2026-01-18,MAD01,1180.51
OP-0187,2026-01-18,MAD01,862.71
OP-0188,2026-01-18,MAD01,712.47
OP-0189,2026-01-18,MAD01,848.74
OP-0190,2026-01-18,BIL02,1566.36
OP-0191,2026-01-18,BIL02,669.44
OP-0192,2026-01-18,BIL02,1212.25
OP-0193,2026-01-18,BIL02,1006.33
OP-0194,2026-01-18,BIL02,1068.93
OP-0195,2026-01-18,BIL02,1601.1
OP-0196,2026-01-18,BIL02,1415.25
OP-0197,2026-01-18,VAL03,1734.96
OP-0198,2026-01-18,VAL03,1138.2
OP-0199,2026-01-18,VAL03,921.62
OP-0200,2026-01-18,VAL03,1110.46
OP-0201,2026-01-18,VAL03,1297.0
OP-0202,2026-01-18,VAL03,1270.63
OP-0203,2026-01-18,VAL03,766.24
OP-0204,2026-01-19,MAD01,1291.29
OP-0205,2026-01-19,MAD01,2206.99
OP-0206,2026-01-19,MAD01,1950.74
OP-0207,2026-01-19,MAD01,858.7
OP-0208,2026-01-19,MAD01,1085.05
OP-0209,2026-01-19,MAD01,614.62
OP-0210,2026-01-19,BIL02,963.72
OP-0211,2026-01-19,BIL02,1326.24
OP-0212,2026-01-19,BIL02,1682.34
OP-0213,2026-01-19,VAL03,938.34
OP-0214,2026-01-19,VAL03,341.08
OP-0215,2026-01-19,VAL03,1134.93
OP-0216,2026-01-19,VAL03,775.03
OP-0217,2026-01-20,MAD01,988.22
OP-0218,2026-01-20,MAD01,849.26
OP-0219,2026-01-20,MAD01,1162.29
OP-0220,2026-01-20,MAD01,496.91
OP-0221,2026-01-20,MAD01,613.18
OP-0222,2026-01-20,MAD01,2051.7
OP-0223,2026-01-20,MAD01,685.03
OP-0224,2026-01-20,BIL02,1934.77
OP-0225,2026-01-20,BIL02,2362.03
OP-0226,2026-01-20,BIL02,731.37
OP-0227,2026-01-20,BIL02,1052.7
OP-0228,2026-01-20,BIL02,1336.62
OP-0229,2026-01-20,BIL02,1891.48
OP-0230,2026-01-20,BIL02,805.26
OP-0231,2026-01-20,VAL03,1101.89
OP-0232,2026-01-20,VAL03,1510.94
OP-0233,2026-01-20,VAL03,1373.91
OP-0234,2026-01-20,VAL03,1049.54
OP-0235,2026-01-20,VAL03,1146.47
OP-0236,2026-01-20,VAL03,650.04
OP-0237,2026-01-21,MAD01,1093.45
OP-0238,2026-01-21,MAD01,1292.87
OP-0239,2026-01-21,MAD01,977.87
OP-0240,2026-01-21,MAD01,1388.62
OP-0241,2026-01-21,MAD01,1605.09
OP-0242,2026-01-21,BIL02,1262.17
OP-0243,2026-01-21,BIL02,1340.7
OP-0244,2026-01-21,BIL02,1221.26
OP-0245,2026-01-21,VAL03,911.38
OP-0246,2026-01-21,VAL03,1326.6
OP-0247,2026-01-21,VAL03,1161.09
OP-0248,2026-01-21,VAL03,2037.27
OP-0249,2026-01-21,VAL03,1829.34
OP-0250,2026-01-21,VAL03,1354.34
OP-0251,2026-01-22,MAD01,894.78
OP-0252,2026-01-22,MAD01,755.04
OP-0253,2026-01-22,MAD01,1676.46
OP-0254,2026-01-22,MAD01,1305.1
OP-0255,2026-01-22,MAD01,1392.06
OP-0256,2026-01-22,MAD01,502.17
OP-0257,2026-01-22,MAD01,1570.98
OP-0258,2026-01-22,BIL02,755.83
OP-0259,2026-01-22,BIL02,1011.39
OP-0260,2026-01-22,BIL02,1305.49
OP-0261,2026-01-22,BIL02,1220.99
OP-0262,2026-01-22,BIL02,1083.13
OP-0263,2026-01-22,BIL02,1158.6
