id_operacion,importe,dias_desde_revision,num_operaciones_mes,antiguedad_cuenta_anios,riesgo_alto,anomalia_inyectada
OP-0001,1013.18,170,37,6,1,False
OP-0002,708.83,112,13,12,1,False
OP-0003,938.02,123,39,3,1,False
OP-0004,1145.65,161,40,3,1,False
OP-0005,810.27,104,34,17,0,False
OP-0006,837.6,139,34,15,0,False
OP-0007,743.77,150,16,11,1,False
OP-0008,731.5,41,36,15,0,False
OP-0009,355.32,10,7,6,0,False
OP-0010,698.27,54,31,14,0,False
OP-0011,865.42,52,46,4,0,False
OP-0012,1183.79,157,48,8,1,False
OP-0013,748.2,164,15,2,0,False
OP-0014,517.85,1,17,7,0,False
OP-0015,724.37,90,31,6,0,False
OP-0016,750.07,147,20,8,1,False
OP-0017,570.81,24,36,9,0,False
OP-0018,701.15,143,10,0,0,False
OP-0019,240.85,22,9,6,0,False
OP-0020,152.36,84,3,16,0,False
OP-0021,808.08,147,24,8,0,False
OP-0022,535.57,55,11,10,0,False
OP-0023,386.56,62,15,2,0,False
OP-0024,831.2,50,45,7,0,False
OP-0025,888.67,129,40,19,0,False
OP-0026,759.05,46,42,10,1,False
OP-0027,1043.94,178,30,0,1,False
OP-0028,299.26,80,6,14,0,False
OP-0029,779.85,86,37,15,0,False
OP-0030,855.33,91,30,7,1,False
OP-0031,1009.45,105,45,0,0,False
OP-0032,723.28,100,24,16,0,False
OP-0033,396.86,92,9,5,0,False
OP-0034,796.79,179,30,18,0,False
OP-0035,616.46,145,23,7,0,False
OP-0036,1130.12,142,33,7,1,False
OP-0037,629.97,126,19,15,0,False
OP-0038,678.39,112,16,2,1,False
OP-0039,425.9,62,7,0,0,False
OP-0040,1217.0,178,48,15,0,False
OP-0041,837.97,84,37,18,0,False
OP-0042,718.82,39,23,19,0,False
OP-0043,570.11,152,12,2,0,False
OP-0044,557.25,29,31,2,0,False
OP-0045,691.8,154,21,6,0,False
OP-0046,696.53,110,32,14,0,False
OP-0047,301.7,21,5,18,0,False
OP-0048,368.04,8,10,16,0,False
OP-0049,783.87,80,37,7,1,False
OP-0050,44.96,7,4,18,0,False
OP-0051,701.52,26,34,5,0,False
OP-0052,830.11,93,21,2,0,False
OP-0053,241.04,174,1,8,0,False
OP-0054,985.66,84,38,1,0,False
OP-0055,842.42,145,35,13,0,False
OP-0056,1139.04,165,40,19,0,False
OP-0057,1038.21,148,44,2,0,False
OP-0058,927.46,113,36,2,1,False
OP-0059,824.37,80,42,3,0,False
OP-0060,363.27,93,6,3,0,False
OP-0061,1074.58,48,46,10,0,False
OP-0062,1080.06,89,45,11,1,False
OP-0063,725.83,68,35,19,0,False
OP-0064,762.98,45,40,8,1,False
OP-0065,831.62,178,37,18,0,False
OP-0066,751.63,3,44,15,0,False
OP-0067,807.91,18,44,17,0,False
OP-0068,636.59,35,26,3,0,False
OP-0069,1108.62,174,41,9,1,False
OP-0070,920.82,124,45,18,0,False
OP-0071,659.37,158,15,15,0,False
OP-0072,293.13,36,3,4,0,False
OP-0073,644.06,130,9,16,1,False
OP-0074,475.67,67,2,15,0,False
OP-0075,682.3,88,22,2,0,False
OP-0076,135.37,1,1,1,0,False
OP-0077,585.5,111,13,5,0,False
OP-0078,587.24,149,13,9,0,False
OP-0079,873.76,119,35,3,0,False
OP-0080,445.13,28,13,0,0,False
OP-0081,982.67,96,47,2,0,False
OP-0082,476.61,48,10,6,0,False
OP-0083,1220.61,173,48,7,0,False
OP-0084,931.0,158,28,6,1,False
OP-0085,389.71,34,12,8,0,False
OP-0086,271.27,92,2,14,1,False
OP-0087,648.2,169,15,4,0,False
OP-0088,870.27,152,29,9,0,False
OP-0089,419.12,127,6,14,0,False
OP-0090,583.39,115,9,1,1,False
OP-0091,215.56,8,6,18,0,False
OP-0092,744.77,133,34,19,0,False
OP-0093,426.71,85,5,5,0,False
OP-0094,44.71,17,2,17,0,False
OP-0095,546.35,44,23,5,0,False
OP-0096,514.56,97,16,18,0,False
OP-0097,609.47,131,28,13,0,False
OP-0098,1061.15,91,46,4,0,False
OP-0099,1075.1,110,43,1,1,False
OP-0100,866.2,156,27,7,1,False
OP-0101,813.57,123,32,14,0,False
OP-0102,872.64,65,40,4,0,False
OP-0103,614.35,116,22,10,0,False
OP-0104,874.03,108,33,2,1,False
OP-0105,309.74,20,11,8,0,False
OP-0106,681.17,11,30,0,0,False
OP-0107,402.59,119,12,19,0,False
OP-0108,463.56,70,10,10,0,False
OP-0109,920.32,108,38,16,0,False
OP-0110,726.84,58,29,2,0,False
OP-0111,508.08,41,19,3,0,False
OP-0112,324.23,27,2,3,0,False
OP-0113,296.54,69,12,11,0,False
OP-0114,1055.05,147,40,17,1,False
